Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover,
MOPOLI,NL0000488153,MOP,Euronext Brussels,EUR,290,290,290,290,31/10/19,CET,48,13920,
MOPOLI FOND,NL0000488161,MOPF,Euronext Brussels,EUR,7800,7800,7800,7800,31/10/19,CET,5,39000,
MOREFIELD GROUP,CWN814651014,MORE,Euronext Amsterdam,EUR,0.298,0.298,0.298,0.298,26/11/19,CET,50,14.9,
MOTA ENGIL,PTMEN0AE0005,EGL,Euronext Lisbon,EUR,2.052,2.052,1.956,1.974,27/11/19,BST,832522,1655211.43,
MOULINVEST,FR0011033083,ALMOU,Euronext Growth Paris,EUR,4.14,4.2,4.14,4.15,26/11/19,CET,1952,8145.05,
MOURY CONSTRUCT,BE0003602134,MOUR,Euronext Brussels,EUR,159,159,159,159,26/11/19,CET,227,36093,
MR BRICOLAGE,FR0004034320,MRB,Euronext Paris,EUR,2.56,2.57,2.5,2.57,26/11/19,CET,3736,9519.82,
MRE-III.P-5.SOCIMI,ES0105412003,MLMRE,Euronext Access Paris,EUR,-,-,-,-,-,CET,-,-,
MTD FINANCE,FR0010518936,MLMTD,Euronext Access Paris,EUR,5.88,5.88,5.88,5.88,22/12/15,CET,17,99.96,
MULANN,FR0012990968,MLMUL,Euronext Access Paris,EUR,0.054,0.054,0.054,0.054,25/11/19,CET,2,0.11,
MULTI 24,PTMUS0AM0018,MLM24,Euronext Access Lisbon,EUR,-,-,-,-,-,BST,-,-,
MULTIMICROCLOUD,FR0013230067,MLMMC,Euronext Access Paris,EUR,0.21,0.21,0.21,0.21,25/11/19,CET,1,0.21,
MUNCHENER RUCKVERS,DE0008430026,MEURV,Traded not listed Brussels,EUR,254.7,254.7,254.7,254.7,18/11/19,CET,9,2292.3,
MUSEE GREVIN,FR0000037970,GREV,Euronext Paris,EUR,65,65,65,65,25/11/19,CET,10,650,
MYBEST GROUP,IT0005119109,ALMBG,Euronext Growth Paris,EUR,4.16,4.16,4.16,4.16,7/6/19,CET,14720,61235.2,
NANOBIOTIX,FR0011341205,NANO,Euronext Paris,EUR,6.82,6.92,6.785,6.85,26/11/19,CET,34538,236693.6,
NATIXIS,FR0000120685,KN,Euronext Paris,EUR,4.026,4.032,3.776,3.859,26/11/19,CET,11298032,43941377.96,
NATURE ET LOGIS,FR0013344223,MLNAT,Euronext Access Paris,EUR,11.2,11.2,11.2,11.2,25/11/19,CET,18,201.6,
NAVYA,FR0013018041,NAVYA,Euronext Paris,EUR,0.856,0.858,0.83,0.858,26/11/19,CET,15660,13289.18,
NEDAP,NL0000371243,NEDAP,Euronext Amsterdam,EUR,48.8,49.2,48.5,48.6,26/11/19,CET,2059,100392.6,
NEOCOM MULTIMEDIA,FR0004157543,MLNEO,Euronext Access Paris,EUR,3.68,3.68,3.68,3.68,18/11/19,CET,100,368,
NEOEN,FR0011675362,NEOEN,Euronext Paris,EUR,24.55,24.6,24.15,24.15,26/11/19,CET,26331,637670.55,
NEOLIFE,FR0011636083,ALNLF,Euronext Growth Paris,EUR,0.094,0.0988,0.087,0.095,26/11/19,CET,891890,82205.85,
NEOLIFE BS,FR0013282936,NLFBS,Euronext Growth Paris,EUR,0.0025,0.01,0.0025,0.006,25/11/19,CET,42002,245.02,
NEOLIFE BSA 2019,FR0013420247,NLFBU,Euronext Growth Paris,EUR,0.0028,0.0028,0.0016,0.0016,26/11/19,CET,80000,146.05,
NEOVACS,FR0004032746,ALNEV,Euronext Growth Paris,EUR,0.0579,0.058,0.0552,0.058,8/11/19,CET,1110223,62998.03,
NEOVACS BSA,FR0013275971,NEVBS,Euronext Growth Paris,EUR,-,-,-,-,-,CET,-,-,
NEPI ROCKCASTLE,IM00BDD7WV31,NRP,Euronext Amsterdam,EUR,7.95,7.95,7.95,7.95,26/11/19,CET,109,866.55,
NETGEM,FR0004154060,NTG,Euronext Paris,EUR,0.886,0.892,0.884,0.89,26/11/19,CET,3896,3464.47,
NEUFCOUR-FIN.,BE0003680916,NEU,Euronext Brussels,EUR,12.5,12.5,12.5,12.5,25/11/19,CET,135,1687.5,
NEURONES,FR0004050250,NRO,Euronext Paris,EUR,20.7,20.8,20.6,20.6,26/11/19,CET,6104,126355.6,
NEW SOURCES ENERGY,NL0009822014,NSE,Euronext Amsterdam,EUR,0.085,0.091,0.085,0.091,26/11/19,CET,2900,256.95,
NEWAYS ELECTRONICS,NL0000440618,NEWAY,Euronext Amsterdam,EUR,9.72,9.72,9.6,9.66,26/11/19,CET,3184,30674.04,
NEWSINVEST,FR0010358507,MLNEI,Euronext Access Paris,EUR,1.4,1.4,1.4,1.4,25/11/19,CET,1,1.4,
NEWTREE,BE0003832491,NEWT,Euronext Access Brussels,EUR,1.4,1.4,1.4,1.4,26/11/19,CET,251,351.4,
NEXANS,FR0000044448,NEX,Euronext Paris,EUR,37.14,37.17,35.99,36.45,26/11/19,CET,126353,4602007.19,
NEXITY,FR0010112524,NXI,Euronext Paris,EUR,46.18,46.4,46,46.16,26/11/19,CET,58228,2687311.06,
NEXPONOR-SICAFI,PTNEX0AM0002,ALNOR,Euronext Growth Lisbon,EUR,0.3,0.3,0.3,0.3,5/6/19,BST,72,21.6,
NEXTEDIA,FR0004171346,ALNXT,Euronext Growth Paris,EUR,0.576,0.576,0.568,0.57,26/11/19,CET,6900,3938.42,
NEXTSTAGE,FR0012789386,NEXTS,Euronext Paris,EUR,96.5,96.5,96.5,96.5,26/11/19,CET,1,96.5,
NIBC HOLDING,NL0012756316,NIBC,Euronext Amsterdam,EUR,7.23,7.23,7.12,7.12,26/11/19,CET,55555,397508.43,
NICOX,FR0013018124,COX,Euronext Paris,EUR,4.005,4.06,3.955,3.985,26/11/19,CET,62623,250664.59,
